Network ID	Territory	Fraction
link_264	WEC_SDGE	1
link_265	WEC_SDGE	1
link_266	WECC_SCE	1
link_267	WECC_IID	0.5
link_267	WECC_SCE	0.5
link_268	WECC_SCE	1
link_269	WECC_SCE	1
link_270	WECC_SCE	1
link_271	WECC_SCE	1
link_272	WECC_SCE	1
link_273	WECC_SCE	1
link_274	WECC_IID	1
link_275	WECC_IID	1
link_276	WECC_IID	0.6
link_276	WEC_SDGE	0.4
link_277	WECC_IID	0.4
link_277	WEC_SDGE	0.6
link_278	WECC_IID	1
link_279	WECC_IID	0.4
link_279	WEC_SDGE	0.6
link_280	WECC_IID	1
link_281	WECC_IID	1
link_282	WECC_IID	0.8
link_282	WECC_SCE	0.2
link_283	WECC_SCE	1
link_284	WECC_SCE	1
link_285	WECC_SCE	1
link_286	WECC_SCE	1
link_287	WECC_SCE	1
link_288	WECC_SCE	1
link_289	WECC_IID	1
link_290	WECC_IID	1
link_291	WECC_IID	1
link_292	WECC_IID	1
link_293	WECC_IID	1
link_294	WECC_IID	1
link_295	WECC_IID	1
link_296	WECC_IID	1
link_297	WECC_IID	1
link_298	WECC_IID	1
link_299	WECC_IID	1
link_300	WECC_IID	0.5
link_300	WEC_SDGE	0.5
link_301	WECC_IID	1
link_302	WECC_IID	1
link_303	WECC_IID	1
link_304	WECC_IID	1
link_305	WECC_IID	1
link_306	WECC_IID	1
link_307	WECC_SCE	1
link_308	WECC_SCE	1
link_309	WECC_SCE	1
link_310	WECC_SCE	1
link_311	WECC_IID	1
link_312	WECC_IID	1
link_313	WECC_IID	1
link_314	WECC_IID	1
link_315	WECC_IID	1
link_316	WECC_IID	0.5
link_316	WEC_SDGE	0.5
link_317	WECC_IID	0.3
link_317	WEC_SDGE	0.7
link_318	WECC_IID	1
link_319	WECC_IID	1
link_320	WECC_IID	1
link_321	WECC_IID	1
link_322	WECC_IID	0.4
link_322	WECC_SCE	0.6
link_323	WECC_IID	1
link_324	WECC_IID	1
link_325	WECC_IID	1
link_326	WECC_IID	0.3
link_326	WECC_SCE	0.7
link_327	WECC_IID	1
link_328	WECC_IID	1
link_329	WECC_IID	1
link_330	WECC_IID	1
link_331	WECC_SCE	1
link_332	WECC_SCE	1
link_333	WECC_SCE	1
link_334	WECC_SCE	1
link_335	WECC_IID	0.3
link_335	WECC_SCE	0.2
link_335	WEC_SDGE	0.5
link_336	WECC_SCE	1
link_337	WECC_SCE	1
link_338	WECC_IID	0.8
link_338	WECC_SCE	0.2
link_339	WECC_SCE	1
link_340	WECC_IID	0.7
link_340	WECC_SCE	0.3
link_341	WECC_IID	1
link_342	WECC_IID	1
link_343	WECC_IID	0.6
