Material	Technology	Year	Nameplate Capacity [kg/yr]	Consumption [unit/kg]	Consumption [unit/km/kg]	Storage [kg]
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	27171278.48	9.37510096	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	29888406.33	9.238335394	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	32877246.96	9.103627848	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	36164971.66	8.97095368	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	39781468.82	8.840289131	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	43759615.7	8.711606339	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	48135577.27	8.584888658	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	52949135	8.460115377	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	58244048.5	8.337261782	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	64068453.35	8.21631456	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	70475298.69	9.013026295	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	77522828.55	8.882424392	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	85275111.41	8.75387781	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	93802622.55	8.627365637	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	103182884.8	8.502878821	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	113501173.3	8.380399904	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	124851290.6	8.259918431	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	137336419.7	8.141425983	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	151070061.6	8.543059895	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	166177067.8	8.420945953	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	182794774.6	8.300920996	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	201074252	8.182979915	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	221181677.3	8.432763583	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	243299845	8.313657964	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	267629829.5	8.19673401	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	294392812.4	8.364266501	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	323832093.7	8.247619663	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	356215303	8.36431629	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	391836833.3	8.248899031	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	431020516.7	8.330554761	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	474122568.3	8.217114814	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	521534825.2	8.273612961	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	573688307.7	8.311177803	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	631057138.5	8.333913358	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	694162852.3	8.344857804	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	763579137.5	8.34633941	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	839937051.3	8.340197559	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	923930756.4	8.32791467	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1e+06	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1020000	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1040400	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1061208	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1082432.16	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1104080.803	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1126162.419	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1148685.668	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1171659.381	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1195092.569	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1218994.42	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1243374.308	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1268241.795	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1293606.63	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1319478.763	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1345868.338	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1372785.705	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1400241.419	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1428246.248	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1456811.173	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1485947.396	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1515666.344	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1545979.671	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1576899.264	0.000717563	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1608437.249	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1640605.994	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1673418.114	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1706886.477	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1741024.206	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1775844.69	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1811361.584	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1847588.816	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1884540.592	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1922231.404	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1960676.032	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	1999889.553	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	2039887.344	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	2141881.711	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	2248975.796	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	2361424.586	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	2479495.816	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	2603470.606	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	2733644.137	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	2870326.344	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	3013842.661	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	3164534.794	0.001435126	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	3322761.533	0.002152689	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	3488899.61	0.002152689	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	3663344.591	0.002152689	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	3846511.82	0.002152689	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	4038837.411	0.002152689	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	4442721.152	0.002152689	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	4886993.267	0.002870252	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	5375692.594	0.002870252	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	5913261.854	0.002870252	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	6504588.039	0.003587816	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	7155046.843	0.003587816	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	7870551.527	0.003587816	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	8657606.68	0.004305379	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	9523367.348	0.004305379	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	10475704.08	0.005022942	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	11523274.49	0.005740505	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	12675601.94	0.005740505	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	13943162.13	0.006458068	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	15337478.35	0.007175631	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	16871226.18	0.007893194	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	18558348.8	0.007908215	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	20414183.68	0.008625942	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	22455602.05	0.010061331	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	24701162.25	0.010779	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	27171278.48	0.012214304	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	29888406.33	0.012931942	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	32877246.96	0.014367196	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	36164971.66	0.015802428	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	39781468.82	0.016534163	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	43759615.7	0.018687291	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	48135577.27	0.020840334	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	52949135	0.022993315	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	58244048.5	0.02444238	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	64068453.35	0.02731324	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	70475298.69	0.030183992	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	77522828.55	0.032350596	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	85275111.41	0.035939186	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	93802622.55	0.039527644	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	103182884.8	0.04312971	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	113501173.3	0.047449289	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	124851290.6	0.052473365	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	137336419.7	0.057510708	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	151070061.6	0.062547975	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	166177067.8	0.069725249	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	182794774.6	0.076198044	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	201074252	0.084106266	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	221181677.3	0.092014486	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	243299845	0.101358152	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	267629829.5	0.110715007	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	294392812.4	0.122211902	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	323832093.7	0.133721909	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	356215303	0.148089743	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	391836833.3	0.162470715	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	431020516.7	0.17900488	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	474122568.3	0.196269885	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	521534825.2	0.215675017	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	573688307.7	0.237246443	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	631057138.5	0.260971088	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	694162852.3	0.287566689	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	763579137.5	0.31561085	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	839937051.3	0.347243709	0	0
Electricity (Industrial) [kWh]	LH2 Train Truck Terminal	2005	923930756.4	0.381760576	0	0
Diesel [gal]	LH2 Truck Link	2005	0	0	3.23e-05	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	10000	31.86825773	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	11000	31.40152466	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	12100	30.94162724	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	13310	30.48846537	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	14641	30.04194039	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	16105.1	29.60195512	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	17715.61	29.16841377	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	19487.171	28.74122197	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	21435.8881	28.32028673	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	23579.47691	27.90551643	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	25937.4246	27.49682078	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	28531.16706	27.09411081	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	31384.28377	26.69729888	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	34522.71214	26.3062986	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	37974.98336	25.92102486	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	41772.48169	25.5413938	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	45949.72986	25.1673228	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	50544.70285	24.79873043	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	55599.17313	24.43553646	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	61159.09045	24.07766184	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	67274.99949	23.72502868	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	74002.49944	23.37756022	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	81402.74939	23.03518085	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	89543.02433	22.69781604	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	98497.32676	22.36539238	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	108347.0594	22.03783751	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	119181.7654	21.71508016	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	131099.9419	21.39705009	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	144209.9361	21.08367809	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	158630.9297	20.77489597	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	174494.0227	20.47063654	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	191943.425	20.1708336	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	211137.7675	19.87542192	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	232251.5442	19.58433724	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	255476.6986	19.29751623	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	281024.3685	19.0148965	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	309126.8053	18.73641658	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	340039.4859	18.46201589	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	374043.4344	18.19163477	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	411447.7779	17.92521443	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	452592.5557	17.66269693	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	497851.8112	17.40402521	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	547636.9924	17.14914305	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	602400.6916	16.89799504	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	662640.7608	16.65052663	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	728904.8369	16.40668404	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	801795.3205	16.16641432	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	881974.8526	15.9296653	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	970172.3378	15.69638558	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	1115698.189	15.36047451	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	1227268.007	15.13553661	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	1349994.808	14.91388953	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	1484994.289	14.69549801	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	1633493.718	14.48030828	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	1796843.09	14.26827378	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	1976527.399	14.05934862	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	2174180.138	13.85348765	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	2391598.152	13.6506464	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	2630757.967	13.45077529	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	2893833.764	13.25384334	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	3183217.141	13.05980194	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	3501538.855	12.86860936	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	3851692.74	12.68021889	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	4236862.014	12.49460197	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	4660548.216	12.31171279	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	5126603.037	12.13150679	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	5639263.341	11.95395712	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	6203189.675	11.7790145	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	6823508.643	11.60665352	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	7505859.507	11.43682631	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	8256445.457	11.26950853	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	9082090.003	11.10465402	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	9990299.004	10.94223395	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	10989328.9	10.78222014	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	12088261.79	10.62456885	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	13297087.97	10.46925317	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	14626796.77	10.31624158	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	16089476.45	10.16549801	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	17698424.09	10.01700304	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	19468266.5	9.870721956	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	21415093.15	9.726621115	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	23556602.47	9.584678008	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	25912262.71	9.444865819	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	28503488.99	9.30715856	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	31353837.88	9.171531118	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	34489221.67	9.037954133	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	37938143.84	8.906414858	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	41731958.22	8.77688078	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	45905154.05	8.649330916	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	50495669.45	8.523750477	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	55545236.4	8.400120827	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	61099760.04	8.278424551	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	67209736.04	8.158640512	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	73930709.64	62.63063377	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	81323780.61	62.48932917	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	89456158.67	62.34850755	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	98401774.54	62.20817367	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	113162040.7	62.00332349	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	130136346.8	61.79963391	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	156163616.2	61.53575863	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	187396339.4	61.27414821	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	224875607.3	61.01500858	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	269850728.8	60.75858998	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	323820874.5	60.50520588	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	388585049.4	60.25522335	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	466302059.3	60.009091	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	559562471.2	59.76733908	0	0
Electricity (Industrial) [kWh]	LH2 Truck Terminal w/storage	2005	671474965.4	59.530613	0	0
Water Total [gal]	Onsite Electrolysis (PEM)	2010	470668.5514	4.759996813	0	0
Electricity (Industrial) [kWh]	Onsite Electrolysis (PEM)	2010	470668.5514	54.6	0	0
Water Total [gal]	Onsite Electrolysis (PEM)	2025	470674.2779	3.979997336	0	0
Electricity (Industrial) [kWh]	Onsite Electrolysis (PEM)	2025	470674.2779	50.3	0	0
Water Total [gal]	Onsite Natural Gas Reforming	2010	470668.6861	5.769996137	0	0
Electricity (Commercial) [kWh]	Onsite Natural Gas Reforming	2010	470668.6861	1.11	0	0
Natural Gas (Industrial) (Central H2 Production) [MMBtu]	Onsite Natural Gas Reforming	2010	470668.6861	0.155797012	0	0
Water Total [gal]	Onsite Natural Gas Reforming	2020	470674.2779	4.379997068	0	0
Electricity (Commercial) [kWh]	Onsite Natural Gas Reforming	2020	470674.2779	2.268	0	0
Natural Gas (Industrial) (Central H2 Production) [MMBtu]	Onsite Natural Gas Reforming	2020	470674.2779	0.145799343	0	0
Water Total [gal]	Existing or Planned SMR (no CCS)	2005	1	4.85	0	0
Electricity (Industrial) [kWh]	Existing or Planned SMR (no CCS)	2005	1	0.569	0	0
Natural Gas (Industrial) (Central H2 Production) [MMBtu]	Existing or Planned SMR (no CCS)	2005	1	0.15625	0	0
